District Name,Facility Name,Building Name,Year Built,Priority Level
Renton,Lindbergh Senior High School,Main Building,1971,4
Burlington-Edison,Burlington-Edison High School,Cafeteria and 400 Wing,1970,4
Marysville,Marysville Pilchuck Sr High School,Auditorium - Bldg K,1970,4
Marysville,Marysville Pilchuck Sr High School,Library - Bldg J,1970,4
Marysville,Marysville Pilchuck Sr High School,Pool Building - Bldg L,1970,4
Renton,Hazen Senior High School,Bldg 1 Main Building,1969,4
Snohomish,Cathcart Elementary School,100 Building,1966,4
Burlington-Edison,Burlington-Edison High School,CTE,1964,4
Highline,Southern Heights Elementary School,Building C - Admin/Multi,1964,4
Burlington-Edison,Burlington-Edison High School,Art/Tiger TUB Building,1958,4
Aberdeen,Hopkins Building (Harbor High School),Hopkins Building ,1956,4
Anacortes,Mount Erie Elementary School,1955 Original Main Building,1955,4
Hoquiam,Emerson Elementary School,Main Building,1954,4
Pe Ell,Pe Ell School,Main Building,1954,4
Woodland,Woodland Middle School,Gymnasium Building,1954,4
Woodland,Woodland Middle School,Main Building,1954,4
Woodland,Woodland Middle School,Performing Arts,1954,4
Woodland,Woodland Middle School ,Shared High School /Middle School,1954,4
Woodland,Woodland Middle School ,Vocational Building,1954,4
Hoquiam,Central Elementary School,Main Building,1952,4
Centralia,Washington Elementary School,Main Building,1950,4
Burlington-Edison,West View Elementary School,Main Building,1950,4
Quillayute Valley,Forks Jr-Sr High School ,Main Jr High Building - 1949,1949,4
Snohomish,Central Elementary School,Main Building - Gym,1948,4
Peninsula,Peninsula High School,Main Building (100,1946,4
Clover Park,Tillicum Elementary School,Classroom Building - TL1,1944,4
Kelso,Rose Valley Elementary School,Main Building,1939,4
Mount Baker,Acme Elementary School,Main Building,1937,4
Ferndale,Custer Elementary,Main Building,1936,4
Quilcene,Quilcene High And Elementary School,High School,1935,4
Morton,Morton Elementary School,Main Building,1930,4
Aberdeen,McDermoth Elementary School,Main Building,1926,4
Tacoma,Willie Stewart Academy,Main Bldg,1919,4
Tacoma,Tacoma School of the Arts-Pacific,SOTA Pacific Ave,1904,4
North Beach,North Beach Junior/Senior High School,Main Building,1991,3
Stanwood-Camano,Twin City Elementary School,Main Building,1988,3
Lake Washington,Rockwell Elementary School,Main Building,1986,3
Ephrata,Grant Elementary School,Main Building,1985,3
Bainbridge Island,Bainbridge High School,500 Building,1981,3
Snohomish,Cathcart Elementary School,500 Building,1980,3
Peninsula,Discovery Elementary School,Main Building,1980,3
Napavine,Napavine Junior Senior High School,Main,1980,3
Peninsula,Gig Harbor High School,Main Building,1978,3
Peninsula,Gig Harbor High School,Voc-Ed Building,1978,3
Bainbridge Island,Ordway Elementary School,Main Building,1978,3
Bellingham,Whatcom Middle School,Industrial Arts Building,1978,3
Northshore,Canyon Creek Elementary School,Building A -,1977,3
Northshore,Canyon Creek Elementary School,Building C - Cafeteria/Gym,1977,3
Renton,Hazen Senior High School,Gym Addition,1977,3
Hockinson,Hockinson Heights Elementary School (East),Building 800 H,1975,3
Burlington-Edison,Burlington-Edison High School,500 Wing,1974,3
Burlington-Edison,Burlington-Edison High School,Admin/Classroom Building,1974,3
Granite Falls,Granite Falls Middle School (form. HS),Main Building,1974,3
Bellingham,Roosevelt Elementary School,Main Building,1972,3
Yakima,Adams Elementary School,8 Plex Bldg D,1971,3
University Place,Curtis Senior High School,500 Building,1971,3
Ocean Beach,Ilwaco High School,Ilwaco High School,1971,3
Renton,Lindbergh Senior High School,Gymnasium,1971,3
Tacoma,Stanley Elementary School,Gym Bldg,1971,3
North Mason,Belfair Elementary School,Gymnasium Building,1970,3
North Mason,Belfair Elementary School,Main Building,1970,3
Snohomish,Cathcart Elementary School,700 Building,1970,3
Federal Way,Kilo Middle School,Building E Little Theater,1970,3
Federal Way,Kilo Middle School,Building G,1970,3
Marysville,Marysville Pilchuck Sr High School,Arts and Crafts Building - Bldg,1970,3
Marysville,Marysville Pilchuck Sr High School,Business Ed and Home,1970,3
