District Name,Facility Name,Building Name,Year Built,Priority Level
Longview,Mt. Solo Middle School,Main Building,2003,Lower
Cascade,Beaver Valley School,Main Building,2000,Lower
Highline,Hilltop Elementary School,400 Building - Bldg D,1998,Lower
Tacoma,Lister Elementary School,Main Building,1998,Moderate
Central Kitsap,Pinecrest Elementary,Main,1998,Lower
Tacoma,Edison Elementary School,Main Building,1997,Lower
Lake Washington,Einstein Elementary School,Main Building,1997,Moderate
Tacoma,Franklin Elementary School,Main Building,1997,Moderate
Marysville,Quil Ceda Tulalip Elementary School,Main Building,1997,Lower
Longview,Robert Gray Elementary School,Main Building,1997,Moderate
Port Townsend,Blue Heron Middle School,Main Building,1995,Lower
Tacoma,Manitou Park Elementary School,Main Building,1994,Lower
Olympia,Thurgood Marshall Middle School,Gym Building,1994,Lower
Olympia,Thurgood Marshall Middle School,Main Building,1994,Lower
Bainbridge Island,Woodward Middle School,Main Building,1994,Lower
Central Kitsap,Emerald Heights Elementary,Main,1993,Moderate
Tacoma,Northeast Tacoma Elementary School,Gym Bldg-Bldg 2,1993,Lower
Tacoma,Northeast Tacoma Elementary School,Main Bldg-Bldg 1,1993,Lower
Pe Ell,Pe Ell School,Fitness Center,1993,Moderate
Tacoma,Sheridan Elementary School  Main Building,,1993,Lower
Clover Park,Custer Elementary School,Library,1992,Lower
Lake Washington,Dickinson Elementary School,Main Building,1992,Lower
Hockinson,Hockinson Heights Elementary School (East),Building 100 A,1992,Moderate
Hockinson,Hockinson Heights Elementary School (East),Building 400 B,1992,Moderate
Dieringer,North Tapps Middle School,Main Building,1992,Lower
Highline,Seahurst Elementary School,Main Building,1992,Lower
Olympia,Boston Harbor Elementary School,Main Building,1991,Lower
Chimacum,Chimacum Middle School,Middle School Bldg 200,1991,Lower
Peninsula,Gig Harbor High School,Two-Story Building,1991,Lower
North Beach,North Beach Junior/Senior High School,Main Building,1991,High
White River,Mountain Meadow Elementary School,Main Building,1990,Lower
Tacoma,Stanley Elementary School,First Bldg,1989,Lower
Lake Washington,Wilder Elementary School,Main Building,1989,Lower
Lopez Island,Lopez Middle High School,Gym/Tech Building,1988,Moderate
Granite Falls,Mountain Way Elementary School,Main Building,1988,Moderate
Stanwood-Camano,Twin City Elementary School,Main Building,1988,High
Peninsula,Voyager Elementary School,Main Building,1988,Lower
Bethel,Camas Prairie Elementary School,Main Building,1987,Lower
Lake Washington,Rockwell Elementary School,Main Building,1986,High
Ephrata,Grant Elementary School,Main Building,1985,High
Bethel,Rocky Ridge Elementary School,Main Building,1985,Moderate
