Facility Name,Building Name,Year Built,Priority Level,GradeCategory,PhysicalAddress,Latitude,Longitude,County,Notes
A.J. West Elementary School,1952 Building,,Moderate,Elementary School,"1801 Bay Ave., Aberdeen, Washington, 98520-5510",46.972095,-123.838079,Grays Harbor,
A.J. West Elementary School,Annex Building,1966,Moderate,Elementary School,"1801 Bay Ave., Aberdeen, Washington, 98520-5510",46.972095,-123.838079,Grays Harbor,
Acme Elementary School,Main Building,,Very High,Elementary School,"5200 TURKINGTON RD, ACME, Washington, 98220-0000",48.71887,-122.208829,Whatcom,
Adams Elementary School,Gym and Cafeteria Building,,High,Elementary School,"2909-E 37 Ave, Spokane, Washington, 99223-4500",47.619724,-117.365347,Spokane,
Adams Elementary School,Main Building,,High,Elementary School,"2909-E 37 Ave, Spokane, Washington, 99223-4500",47.619724,-117.365347,Spokane,
Adams Elementary School,8 Plex Bldg D,,High,Elementary School,"723 S 8th St, Yakima, Washington, 98901-3322",46.594966,-120.490508,Yakima,
Adams Elementary School,BLDG C-1,,High,Elementary School,"723 S 8th St, Yakima, Washington, 98901-3322",46.594966,-120.490508,Yakima,
Adams Elementary School,Old Gym C,,High,Elementary School,"723 S 8th St, Yakima, Washington, 98901-3322",46.594966,-120.490508,Yakima,
Audubon Elementary School,Main Building,,Lower,Elementary School,"2020 W Carlisle Ave, Spokane, Washington, 99205-3794",47.680031,-117.442181,Spokane,
Bainbridge High School,500 Building,1981,High,High School,"9330 NE High School RD, Bainbridge Island, Washington, 98110-3695",47.636355,-122.524072,Kitsap,
Bainbridge High School,300 Building,1981,Lower,High School,"9330 NE High School RD, Bainbridge Island, Washington, 98110-3695",47.636355,-122.524072,Kitsap,
Bancroft (The Community School),Main Building,,High,High School,"1025 W Spofford Ave, Spokane, Washington, 99205",47.671642,-117.427892,Spokane,
Beach Elementary,Main Building,,Very High,Elementary School,"4101 Academy St, Bellingham, Washington, 98226-4443",48.768392,-122.416925,Whatcom,
Beaver Valley School,Old Winton School House,1916,High,Elementary School,"19265 Beaver Valley Rd, Leavenworth, Washington, 98826-0000",47.769747,-120.665182,Chelan,
Beaver Valley School,Main Building,2000,Lower,Elementary School,"19265 Beaver Valley Rd, Leavenworth, Washington, 98826-0000",47.769747,-120.665182,Chelan,
Belfair Elementary School,Gymnasium Building,,High,Elementary School,"NE 22900 Hwy 3, Belfair, Washington, 98528-0000",47.438887,-122.833908,Mason,
Belfair Elementary School,Main Building,,High,Elementary School,"NE 22900 Hwy 3, Belfair, Washington, 98528-0000",47.438887,-122.833908,Mason,
Beverly Park @ Glendale Elementary School,Main Building A,,High,Elementary School,"1201 S 104th St, Seattle, Washington, 98168-1549",47.509618,-122.317571,King,
Beverly Park @ Glendale Elementary School,Multi-Purpose Building B,,High,Elementary School,"1201 S 104th St, Seattle, Washington, 98168-1549",47.509618,-122.317571,King,
Bickleton Elementary and High School,Bldg B -,,Moderate,K-12,"3626 Bickleton Highway, Bickleton, Washington, 99322",45.998617,-120.293366,Klickitat,
Bickleton Elementary and High School,Main Building,,Lower,K-12,"3626 Bickleton Highway, Bickleton, Washington, 99322",45.998617,-120.293366,Klickitat,
Black Lake Elementary School,Building A,,Lower,Elementary School,"6345 Belmore-Black Lake Road, Olympia, Washington, 98512-0000",46.991146,-122.967266,Thurston,
Black Lake Elementary School,Building B,,Lower,Elementary School,"6345 Belmore-Black Lake Road, Olympia, Washington, 98512-0000",46.991146,-122.967266,Thurston,
Black Lake Elementary School,Building C,,Lower,Elementary School,"6345 Belmore-Black Lake Road, Olympia, Washington, 98512-0000",46.991146,-122.967266,Thurston,
Blue Heron Middle School,Main Building,,Lower,Middle School,"3939 San Juan Ave, Port Townsend, Washington, 98368-3323",48.129029,-122.779101,Jefferson,
Boistfort Elementary,Gymnasium Building,,Very High,Other,"983 Boistfort Road, Curtis, Washington, 98538-9734",46.550188,-123.133132,Lewis,
Boistfort Elementary,Main Building,,Very High,Other,"983 Boistfort Road, Curtis, Washington, 98538-9734",46.550188,-123.133132,Lewis,
Boston Harbor Elementary School,Main Building,,Lower,Elementary School,"7300 ZANGLE RD NE, OLYMPIA, Washington, 98506-9799",47.134902,-122.885313,Thurston,
